"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D8";"LED_0805";1;"ALERT";;;
2;"C20,C22,C23,C15,C19,C9,C21,C37,C34,C7,C36,C13,C4,C31,C8,C3,C30,C2,C5,C6,C11";"C_0805";21;"0.1uF";;;
3;"FUSE1,12V1,3.3V1,Vin1,GNDPWR1,BAT-1";"TESTPOINT";6;"TestPoint";;;
4;"PACK1,BAT1";"WetNoodle";2;"Conn_01x02";;;
5;"C1,C10";"C_0805";2;"1uF";;;
6;"G1";"cuauv_prop";1;"LOGO";;;
7;"C38,C26";"C_0805";2;"10uF";;;
8;"Mount1";"MountingHole_3.2mm_M3_DIN965_Pad";1;"Mount1";;;
9;"Mount2";"MountingHole_3.2mm_M3_DIN965_Pad";1;"Mount2";;;
10;"U3";"SOD-323";1;"BAT54HT1G";;;
11;"TH1";"R_1206";1;"10k";;;
12;"U10,U5,U9,U6";"SQJ422EP";4;"SQJ422EP";;;
13;"R13,R49,R45,R11,R36,R34,R37,R25,R47,R42,R43,R48,R35";"R_0805";13;"10k";;;
14;"WAKE1,MCU_RES1,DISP1";"PTS810_CNK";3;"SW_Push_Dual";;;
15;"D2";"LED_0805";1;"LED3";;;
16;"R31,R30,R21,R20";"R_0805";4;"10M";;;
17;"D6";"LED_0805";1;"LED5";;;
18;"R38,R32,R33";"R_0805";3;"200";;;
19;"U12,U11";"SOT-23";2;"2N7002K";;;
20;"D5";"LED_0805";1;"LED2";;;
21;"C17,C14,C39,C18";"C_0805";4;"2.2uF";;;
22;"R17,R19,R24,R22,R29,R28";"R_0805";6;"5.1k";;;
23;"R23,R44";"R_0805";2;"330";;;
24;"R26,R9,R15,R1,R39,R40,R7,R8,R12,R6";"R_0805";10;"100";;;
25;"PROG1";"PDI_Header";1;"AVR-PDI-6";;;
26;"C16";"C_0805";1;"100nF";;;
27;"C24,C25";"C_0805";2;"18pF";;;
28;"U8";"OLEDM204";1;"OLEDM204";;;
29;"R10";"R_0805";1;"100k";;;
30;"Mount3";"MountingHole_3.2mm_M3_DIN965_Pad";1;"Mount3";;;
31;"Q1";"SOT-23-3";1;"PMOS";;;
32;"R18";"R_0805";1;"51k";;;
33;"C29";"C_0805";1;"10nF";;;
34;"Q3,Q2,Q4";"SOT-23-3";3;"NMOS";;;
35;"Mount4";"MountingHole_3.2mm_M3_DIN965_Pad";1;"Mount4";;;
36;"U1";"SOT-23-5";1;"LDK320AM120R";;;
37;"R41,R5,R2,R4,R3";"R_0805";5;"1k";;;
38;"U15,U14,U13";"SOD-323";3;"MM3Z5V6C";;;
39;"U21";"SOT-223-6_TabPin3";1;"TPS7A4533";;;
40;"D3";"LED_0805";1;"LED1";;;
41;"U4";"ITV9550L1460MR";1;"ITV9550L1460";;;
42;"D4";"LED_0805";1;"LED4";;;
43;"D1";"LED_0805";1;"OUTPUT";;;
44;"R16";"R_0805";1;"5.1";;;
45;"U16,U18,U19,U17";"X1-DFN1006-2";4;"D20V0L1B2LP";;;
46;"C27,C33,C35,C12,C28,C32";"C_0805";6;"0.47uF";;;
47;"U2";"WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm";1;"BQ296100DSGT";;;
48;"SYS_PRES1,REED1";"CONN_S2B-XH-A-1LFSN_JST";2;"Conn_01x02";;;
49;"R27";"R_0805";1;"910k";;;
50;"Y1";"Crystal_Common";1;"Crystal";;;
51;"THERMS1";"JST_S8B-XH-A-1_LF__SN_";1;"Conn_01x08";;;
52;"D7";"LED_0805";1;"LED";;;
53;"SMBUS_OUT1";"JST_S4B-XH-A-1";1;"Conn_01x04";;;
54;"BALANCE1";"CONN_S5B-XH-A-1LFSN_JST";1;"Conn_01x05";;;
55;"U20";"SSOP-28_5.3x10.2mm_Pitch0.65mm";1;"MAX3250";;;
56;"SMBC_SEL1,SMBD_SEL1";"PinHeader_1x03_P2.54mm_Vertical";2;"Jumper_3_Open";;;
57;"IC1";"TQFP-44_10x10mm_Pitch0.8mm";1;"ATXMEGA32A4U-A-";;;
58;"SERIAL_OUT1";"SHDRRA3W64P0X250_1X3_990X1150X610P";1;"Conn_01x03";;;
59;"D9";"D_SOD-323";1;"D";;;
60;"R14";"R_2512";1;"0.001";;;
61;"U22";"G3VM-62J1(TR)";1;"~";;;
62;"U7";"QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm";1;"BQ40Z50-R2";;;
